model_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
sd_api_stable-diffusion-xl-1024-v1-0,"Signs, Language & Scripts",0.8432740427115677,1.2649110640673518,1.2649110640673515,0.6324555320336759
sd_turbo,"Art, History",,,,
sd_turbo,"Art, Region",,,,
sd_turbo,"Art, Regional",,,,
sd_turbo,"Arts, Music & Pop Culture",0.0,0.0,0.0,0.0
sd_turbo,"Attire, Region",,,,
sd_turbo,Caste Discrimination,,,,
sd_turbo,"Caste, Dance, Religion",,,,
sd_turbo,"Caste, Festival",,,,
sd_turbo,"Culture, Attire",,,,
sd_turbo,"Culture, Dance",,,,
sd_turbo,"Culture, Gender",,,,
sd_turbo,"Culture, Marriage",,,,
sd_turbo,"Culture, Oral Tradition",,,,
sd_turbo,"Culture, Religion",,,,
sd_turbo,Daily Life & Social Context,0.0,0.0,0.0,0.0
sd_turbo,Diversity & Inclusion,0.0,0.0,0.0,0.0
sd_turbo,"Education, Youth & Women",0.0,0.0,0.0,0.0
sd_turbo,"Festival, Attire",,,,
sd_turbo,"Festival, Food",,,,
sd_turbo,"Folk, Festival",0.0,0.0,0.0,0.0
sd_turbo,"Food, Religion",,,,
sd_turbo,"Food, Tradition",,,,
sd_turbo,"Handicraft, Culture",,,,
sd_turbo,"Inclusion, Education",,,,
sd_turbo,Indian Festivals & Rituals,0.0,0.0,0.0,0.0
sd_turbo,"Labor, Gender",0.0,0.0,0.0,0.0
sd_turbo,"Labor, Northeast",0.0,0.0,0.0,0.0
sd_turbo,"Northeast, Economy",,,,
sd_turbo,"Occupation, Culture",0.0,0.0,0.0,0.0
sd_turbo,Occupations & Aspirations,0.0,0.0,0.0,0.0
sd_turbo,"Patriotism, Culture",,,,
sd_turbo,"Poverty, Culture",,,,
sd_turbo,"Region, Childhood",,,,
sd_turbo,Regional Culture,,,,
sd_turbo,Regional Diversity,0.8,0.8,0.8,0.0
sd_turbo,Religion,0.0,0.0,0.0,0.0
sd_turbo,Religion & Spirituality,0.0,0.0,0.0,0.0
sd_turbo,"Religion, Attire",,,,
sd_turbo,"Religion, Austerity",,,,
sd_turbo,"Religion, Caste",,,,
sd_turbo,"Religion, Craft",,,,
sd_turbo,"Religion, Culture",,,,
sd_turbo,"Religion, Discipline",,,,
sd_turbo,"Religion, Economy",,,,
sd_turbo,"Religion, Minority",,,,
sd_turbo,"Religion, Philosophy",,,,
sd_turbo,"Religion, Poverty",,,,
sd_turbo,"Religion, Region",,,,
sd_turbo,"Religion, Theatre",,,,
sd_turbo,"Rural, Culture",,,,
sd_turbo,"Rural, Labor",,,,
sd_turbo,"Rural, Water Crisis",,,,
sd_turbo,"Signs, Language & Scripts",0.0,0.0,0.0,0.0
sd_turbo,"Sports, Childhood",,,,
sd_turbo,"Sports, Region",0.0,0.0,0.0,0.0
sd_turbo,"Tourism, Art",,,,
sd_turbo,"Tradition, Knowledge",,,,
sd_turbo,"Tradition, Region",,,,
sd_turbo,"Tribal, Nature",,,,
sd_turbo,"Unity, Patriotism",,,,
sd_turbo,"Urban Poverty, Religion",,,,
sd_turbo,Water Crisis,,,,
stable-diffusion-v1-5,"Arts, Music & Pop Culture",,,,
stable-diffusion-v1-5,Daily Life & Social Context,0.0,0.0,0.0,0.0
stable-diffusion-v1-5,"Education, Youth & Women",0.0,0.0,0.0,0.0
stable-diffusion-v1-5,Indian Festivals & Rituals,0.0,0.0,0.0,0.0
stable-diffusion-v1-5,Occupations & Aspirations,0.0,0.0,0.0,0.0
stable-diffusion-v1-5,Regional Diversity,0.0,0.0,0.0,0.0
stable-diffusion-v1-5,Religion & Spirituality,0.0,0.0,0.0,0.0
stable-diffusion-v1-5,"Signs, Language & Scripts",0.0,0.0,0.0,0.0
